wavelength	irradiance
641.3709	0.0105
641.8731	0.0104
642.3752	0.0102
642.8772	0.0102
643.3791	0.0101
643.8808	0.0099
644.3824	0.0098
644.8839	0.0097
645.3853	0.0096
645.8865	0.0094
646.3877	0.0094
646.8887	0.0093
647.3895	0.0092
647.8903	0.0091
648.3909	0.009
648.8914	0.0089
649.3918	0.0088
649.892	0.0087
650.3921	0.0085
650.8921	0.0085
651.392	0.0084
651.8918	0.0082
652.3914	0.0082
652.8909	0.008
653.3903	0.008
653.8895	0.0079
654.3887	0.0079
654.8877	0.0078
655.3866	0.0077
655.8853	0.0075
656.384	0.0074
656.8825	0.0074
657.3809	0.0074
657.8791	0.0072
658.3773	0.0072
658.8753	0.0071
659.3732	0.0071
659.8709	0.0071
660.3686	0.0069
660.8661	0.0068
661.3635	0.0068
661.8607	0.0068
662.3579	0.0066
662.8549	0.0066
663.3518	0.0065
663.8485	0.0065
664.3452	0.0064
664.8417	0.0063
665.3381	0.0063
665.8344	0.0063
666.3305	0.0063
666.8265	0.0062
667.3224	0.0062
667.8182	0.0061
668.3139	0.0062
668.8094	0.006
669.3048	0.0059
669.8001	0.0058
670.2952	0.0059
670.7902	0.0059
671.2852	0.0059
671.7799	0.0059
672.2746	0.0058
672.7691	0.0058
673.2635	0.0057
673.7578	0.0058
674.252	0.0058
674.746	0.0057
675.2399	0.0057
675.7337	0.0057
676.2273	0.0057
676.7209	0.0057
677.2143	0.0056
677.7076	0.0057
678.2007	0.0056
678.6938	0.0056
679.1867	0.0056
679.6795	0.0056
680.1722	0.0057
680.6647	0.0055
681.1571	0.0056
681.6494	0.0056
682.1416	0.0055
682.6336	0.0056
683.1255	0.0055
683.6173	0.0056
684.109	0.0056
684.6005	0.0056
685.092	0.0056
685.5833	0.0056
686.0744	0.0056
686.5655	0.0056
687.0564	0.0056
687.5472	0.0055
688.0379	0.0056
688.5284	0.0055
689.0189	0.0056
689.5092	0.0057
689.9994	0.0057
690.4894	0.0056
690.9793	0.0055
691.4691	0.0056
691.9588	0.0056
692.4484	0.0057
692.9378	0.0055
693.4271	0.0056
693.9163	0.0056
694.4054	0.0056
694.8943	0.0056
695.3831	0.0057
695.8718	0.0055
696.3604	0.0056
696.8488	0.0057
697.3371	0.0056
697.8253	0.0056
698.3134	0.0056
698.8013	0.0056
699.2891	0.0055
699.7768	0.0056
700.2644	0.0055
700.7518	0.0055
701.2391	0.0055
701.7263	0.0055
702.2134	0.0055
702.7003	0.0056
703.1872	0.0055
703.6739	0.0056
704.1604	0.0055
704.6469	0.0056
705.1332	0.0054
705.6194	0.0054
706.1055	0.0053
706.5914	0.0053
707.0773	0.0055
707.563	0.0054
708.0485	0.0054
708.534	0.0053
709.0193	0.0053
709.5045	0.0054
709.9896	0.0052
710.4746	0.0053
710.9594	0.0052
711.4441	0.0052
711.9287	0.0052
712.4132	0.0052
712.8975	0.005
713.3817	0.0051
713.8658	0.005
714.3497	0.0049
714.8336	0.005
715.3173	0.0051
715.8009	0.0049
716.2843	0.005
716.7677	0.0049
717.2509	0.0048
717.734	0.0047
718.217	0.0047
718.6998	0.0048
719.1825	0.0047
719.6651	0.0048
720.1476	0.0045
720.6299	0.0044
721.1121	0.0045
721.5942	0.0045
722.0762	0.0046
722.5581	0.0044
723.0398	0.0045
723.5214	0.0043
724.0029	0.0043
724.4842	0.0043
724.9654	0.0043
725.4465	0.0043
725.9275	0.0042
726.4084	0.0041
726.8891	0.0041
727.3697	0.0041
727.8502	0.0039
728.3305	0.0039
728.8108	0.0039
729.2909	0.0037
729.7709	0.0038
730.2507	0.0038
730.7305	0.0039
731.2101	0.0039
731.6895	0.004
732.1689	0.0036
732.6481	0.0036
733.1273	0.0035
733.6062	0.0036
734.0851	0.0035
734.5638	0.0035
735.0425	0.0034
735.521	0.0035
735.9993	0.0033
736.4776	0.0033
736.9557	0.0034
737.4337	0.0033
737.9115	0.0032
738.3893	0.0034
738.8669	0.0031
739.3444	0.0031
739.8218	0.0031
740.299	0.0031
740.7761	0.003
741.2531	0.0031
741.73	0.003
742.2068	0.0028
742.6834	0.0028
743.1599	0.0029
743.6363	0.0029
744.1125	0.0029
744.5886	0.0028
745.0646	0.0028
745.5405	0.0027
746.0163	0.0026
746.4919	0.0026
746.9674	0.0025
747.4428	0.0027
747.9181	0.0025
748.3932	0.0026
748.8682	0.0024
749.3431	0.0025
749.8178	0.0024
750.2925	0.0024
750.767	0.0026
751.2414	0.0014
751.7156	0.0024
752.1898	0.0023
752.6638	0.0025
753.1377	0.0023
753.6115	0.0022
754.0851	0.0023
754.5586	0.0022
755.032	0.0022
755.5053	0.0021
755.9784	0.0022
756.4514	0.0022
756.9243	0.002
757.3971	0.0021
757.8697	0.0021
